1	white	1386071
1	black	387190
1	hispanic	349500
1	asian	76178
1	native american	18833
2	white	276162
2	black	77280
2	hispanic	70202
2	asian	13914
2	native american	3747
3	white	313163
3	black	87215
3	hispanic	79772
3	asian	15431
3	native american	4390
4	white	730318
4	black	200002
4	hispanic	185645
4	asian	35806
4	native american	9799
5	white	843961
5	black	224334
5	hispanic	212710
5	asian	41547
5	native american	11254
6	white	1377231
6	black	351468
6	hispanic	343752
6	asian	68575
6	native american	18383
7	white	2220800
7	hispanic	537356
7	black	526545
7	asian	115420
7	native american	28593
8	white	3585926
8	hispanic	843903
8	black	751200
8	asian	227827
8	native american	41466
9	white	793304
9	hispanic	186434
9	black	149912
9	asian	76709
9	native american	6698
